subject,age,gender,word,salience,list,rating 
1,27,F,balcon,neutral,10,0
1,27,F,andamio,neutral,10,0
1,27,F,ventana,neutral,10,0
1,27,F,tejado,neutral,10,0
1,27,F,edificio,neutral,10,0
1,27,F,altillo,neutral,10,0
1,27,F,cima,neutral,10,6
1,27,F,bajada,neutral,10,0
1,27,F,puente,neutral,10,0
1,27,F,rascacielos,neutral,10,0
1,27,F,ceguera,eodd,11,0
1,27,F,vision,neutral,11,6
1,27,F,lupa,neutral,11,0
1,27,F,fotografia,neutral,11,0
1,27,F,cine,neutral,11,0
1,27,F,vista,neutral,11,6
1,27,F,ojo,neutral,11,0
1,27,F,panorama,neutral,11,0
1,27,F,video,neutral,11,0
1,27,F,escena,neutral,11,6
1,27,F,observador,neutral,11,6
1,27,F,optica,neutral,11,0
1,27,F,ojeada,neutral,11,0
1,27,F,mirada,neutral,11,0
1,27,F,ahogado,eodd,12,-6
1,27,F,agua,neutral,12,0
1,27,F,ferri,neutral,12,0
1,27,F,piscina,neutral,12,0
1,27,F,nadador,neutral,12,0
1,27,F,lago,neutral,12,0
1,27,F,arroyo,neutral,12,0
1,27,F,costa,neutral,12,5
1,27,F,rio,neutral,12,0
1,27,F,canal,neutral,12,0
1,27,F,cauce,neutral,12,5
1,27,F,lancha,neutral,12,0
1,27,F,mar,neutral,12,5
1,27,F,estanque,neutral,12,0
1,27,F,morgue,eodd,13,-6
1,27,F,deposito,neutral,13,0
1,27,F,baul,neutral,13,0
1,27,F,armario,neutral,13,0
1,27,F,consigna,neutral,13,0
1,27,F,nevera,neutral,13,0
1,27,F,casillero,neutral,13,0
1,27,F,envase,neutral,13,0
1,27,F,almacen,neutral,13,0
1,27,F,contenedor,neutral,13,-4
1,27,F,caja,neutral,13,0
1,27,F,bote,neutral,13,0
1,27,F,trastero,neutral,13,0
1,27,F,cajon,neutral,13,0
1,27,F,hambruna,eodd,14,-6
1,27,F,alimento,neutral,14,0
