subject,oddballtype,transition,direction,wordposition,CRP
14,highrec,to,Forwards,4,0
15,highrec,to,Forwards,4,0.2
16,highrec,to,Forwards,4,0
17,highrec,to,Forwards,4,0.333333333333333
18,highrec,to,Forwards,4,0
19,highrec,to,Forwards,4,0.75
20,highrec,to,Forwards,4,0
21,highrec,to,Forwards,4,0
22,highrec,to,Forwards,4,0
23,highrec,to,Forwards,4,0.25
24,highrec,to,Forwards,4,1
25,highrec,to,Forwards,4,0
26,highrec,to,Forwards,4,0
27,highrec,to,Forwards,4,0.5
28,highrec,to,Forwards,4,0
29,highrec,to,Forwards,4,NaN
30,highrec,to,Forwards,4,0
31,highrec,to,Forwards,4,0
32,highrec,to,Forwards,4,0
33,highrec,to,Forwards,4,NaN
34,highrec,to,Forwards,4,0
35,highrec,to,Forwards,4,0
36,highrec,to,Forwards,4,NaN
37,highrec,to,Forwards,4,0
38,highrec,to,Forwards,4,NaN
39,highrec,to,Forwards,4,0.5
40,highrec,to,Forwards,4,0
41,highrec,to,Forwards,4,NaN
42,highrec,to,Forwards,4,0.6
43,highrec,to,Forwards,4,0.666666666666667
44,highrec,to,Forwards,4,0
45,highrec,to,Forwards,4,0
46,highrec,to,Forwards,4,1
47,highrec,to,Forwards,4,NaN
48,highrec,to,Forwards,4,0
49,highrec,to,Forwards,4,0.5
50,highrec,to,Forwards,4,0
51,highrec,to,Forwards,4,1
52,highrec,to,Forwards,4,0
53,highrec,to,Forwards,4,0.5
54,highrec,to,Forwards,4,0.5
55,highrec,to,Forwards,4,0
56,highrec,to,Forwards,4,0
57,highrec,to,Forwards,4,0
58,highrec,to,Forwards,4,1
59,highrec,to,Forwards,4,0.2
60,highrec,to,Forwards,4,0.5
61,highrec,to,Forwards,4,NaN
62,highrec,to,Forwards,4,0
63,highrec,to,Forwards,4,0
64,highrec,to,Forwards,4,0
65,highrec,to,Forwards,4,0
66,highrec,to,Forwards,4,0
67,highrec,to,Forwards,4,0
68,highrec,to,Forwards,4,0
69,highrec,to,Forwards,4,0.25
70,highrec,to,Forwards,4,1
71,highrec,to,Forwards,4,NaN
72,highrec,to,Forwards,4,0
73,highrec,to,Forwards,4,1
74,highrec,to,Forwards,4,1
75,highrec,to,Forwards,4,0
4,highrec,to,Forwards,5,0
5,highrec,to,Forwards,5,NaN
6,highrec,to,Forwards,5,0
7,highrec,to,Forwards,5,0
9,highrec,to,Forwards,5,0.25
10,highrec,to,Forwards,5,0.5
11,highrec,to,Forwards,5,0
12,highrec,to,Forwards,5,0
14,highrec,to,Forwards,5,0
15,highrec,to,Forwards,5,0
16,highrec,to,Forwards,5,0
17,highrec,to,Forwards,5,0.333333333333333
18,highrec,to,Forwards,5,0.333333333333333
19,highrec,to,Forwards,5,0.333333333333333
20,highrec,to,Forwards,5,0
21,highrec,to,Forwards,5,0
22,highrec,to,Forwards,5,0.166666666666667
23,highrec,to,Forwards,5,0
24,highrec,to,Forwards,5,1
25,highrec,to,Forwards,5,0
26,highrec,to,Forwards,5,0
27,highrec,to,Forwards,5,0
28,highrec,to,Forwards,5,0
29,highrec,to,Forwards,5,NaN
30,highrec,to,Forwards,5,1
31,highrec,to,Forwards,5,0.333333333333333
32,highrec,to,Forwards,5,0.5
33,highrec,to,Forwards,5,0
34,highrec,to,Forwards,5,0
35,highrec,to,Forwards,5,0.142857142857143
36,highrec,to,Forwards,5,1
37,highrec,to,Forwards,5,0.333333333333333
38,highrec,to,Forwards,5,0.5
39,highrec,to,Forwards,5,0
40,highrec,to,Forwards,5,0
41,highrec,to,Forwards,5,NaN
42,highrec,to,Forwards,5,0
43,highrec,to,Forwards,5,0.333333333333333
44,highrec,to,Forwards,5,0
45,highrec,to,Forwards,5,0
46,highrec,to,Forwards,5,0
47,highrec,to,Forwards,5,NaN
48,highrec,to,Forwards,5,0
49,highrec,to,Forwards,5,0
50,highrec,to,Forwards,5,0
51,highrec,to,Forwards,5,0
52,highrec,to,Forwards,5,0.666666666666667
53,highrec,to,Forwards,5,0
54,highrec,to,Forwards,5,0.5
55,highrec,to,Forwards,5,NaN
56,highrec,to,Forwards,5,0.5
57,highrec,to,Forwards,5,1
58,highrec,to,Forwards,5,0.5
59,highrec,to,Forwards,5,0
60,highrec,to,Forwards,5,NaN
61,highrec,to,Forwards,5,1
62,highrec,to,Forwards,5,0
63,highrec,to,Forwards,5,0
64,highrec,to,Forwards,5,0.25
65,highrec,to,Forwards,5,0.25
66,highrec,to,Forwards,5,0.25
67,highrec,to,Forwards,5,0
68,highrec,to,Forwards,5,0.25
69,highrec,to,Forwards,5,0.25
70,highrec,to,Forwards,5,0
71,highrec,to,Forwards,5,0
72,highrec,to,Forwards,5,0.5
73,highrec,to,Forwards,5,0
74,highrec,to,Forwards,5,0
75,highrec,to,Forwards,5,0
4,lowrec,to,Backwards,5,0
5,lowrec,to,Backwards,5,0
6,lowrec,to,Backwards,5,NaN
7,lowrec,to,Backwards,5,NaN
9,lowrec,to,Backwards,5,0.5
10,lowrec,to,Backwards,5,NaN
11,lowrec,to,Backwards,5,NaN
12,lowrec,to,Backwards,5,0
14,lowrec,to,Backwards,5,0
15,lowrec,to,Backwards,5,0.5
16,lowrec,to,Backwards,5,0
17,lowrec,to,Backwards,5,0
18,lowrec,to,Backwards,5,0.25
19,lowrec,to,Backwards,5,0
20,lowrec,to,Backwards,5,NaN
21,lowrec,to,Backwards,5,0
22,lowrec,to,Backwards,5,NaN
23,lowrec,to,Backwards,5,NaN
24,lowrec,to,Backwards,5,NaN
25,lowrec,to,Backwards,5,NaN
26,lowrec,to,Backwards,5,0
27,lowrec,to,Backwards,5,0
28,lowrec,to,Backwards,5,0.333333333333333
29,lowrec,to,Backwards,5,1
30,lowrec,to,Backwards,5,0
31,lowrec,to,Backwards,5,0
32,lowrec,to,Backwards,5,0
33,lowrec,to,Backwards,5,0
34,lowrec,to,Backwards,5,0.5
35,lowrec,to,Backwards,5,0
36,lowrec,to,Backwards,5,0.5
37,lowrec,to,Backwards,5,0
38,lowrec,to,Backwards,5,NaN
39,lowrec,to,Backwards,5,0.333333333333333
40,lowrec,to,Backwards,5,NaN
41,lowrec,to,Backwards,5,NaN
42,lowrec,to,Backwards,5,0
43,lowrec,to,Backwards,5,0
44,lowrec,to,Backwards,5,NaN
45,lowrec,to,Backwards,5,NaN
46,lowrec,to,Backwards,5,0
47,lowrec,to,Backwards,5,0.5
48,lowrec,to,Backwards,5,NaN
49,lowrec,to,Backwards,5,NaN
50,lowrec,to,Backwards,5,0
51,lowrec,to,Backwards,5,NaN
52,lowrec,to,Backwards,5,0
53,lowrec,to,Backwards,5,NaN
54,lowrec,to,Backwards,5,0.2
55,lowrec,to,Backwards,5,NaN
56,lowrec,to,Backwards,5,0.5
57,lowrec,to,Backwards,5,1
