subject,oddballtype,transition,direction,wordposition,CRP
4,no_amn,to,Backwards,5,0
5,no_amn,to,Backwards,5,0
6,no_amn,to,Backwards,5,1
7,no_amn,to,Backwards,5,1
9,no_amn,to,Backwards,5,0.5
10,no_amn,to,Backwards,5,0
11,no_amn,to,Backwards,5,0
12,no_amn,to,Backwards,5,0
14,no_amn,to,Backwards,5,NaN
15,no_amn,to,Backwards,5,0.5
16,no_amn,to,Backwards,5,0
17,no_amn,to,Backwards,5,0
18,no_amn,to,Backwards,5,0
19,no_amn,to,Backwards,5,0.333333333333333
20,no_amn,to,Backwards,5,NaN
21,no_amn,to,Backwards,5,0.333333333333333
22,no_amn,to,Backwards,5,0.5
23,no_amn,to,Backwards,5,0.666666666666667
24,no_amn,to,Backwards,5,NaN
25,no_amn,to,Backwards,5,NaN
26,no_amn,to,Backwards,5,0
27,no_amn,to,Backwards,5,0.5
28,no_amn,to,Backwards,5,0
29,no_amn,to,Backwards,5,1
30,no_amn,to,Backwards,5,0.5
31,no_amn,to,Backwards,5,0.333333333333333
32,no_amn,to,Backwards,5,0
33,no_amn,to,Backwards,5,0
34,no_amn,to,Backwards,5,0
35,no_amn,to,Backwards,5,0
36,no_amn,to,Backwards,5,0.5
37,no_amn,to,Backwards,5,0
38,no_amn,to,Backwards,5,NaN
39,no_amn,to,Backwards,5,0.333333333333333
40,no_amn,to,Backwards,5,NaN
41,no_amn,to,Backwards,5,NaN
42,no_amn,to,Backwards,5,0
43,no_amn,to,Backwards,5,0
44,no_amn,to,Backwards,5,NaN
45,no_amn,to,Backwards,5,NaN
46,no_amn,to,Backwards,5,0
47,no_amn,to,Backwards,5,0.333333333333333
48,no_amn,to,Backwards,5,NaN
49,no_amn,to,Backwards,5,0.5
50,no_amn,to,Backwards,5,0
51,no_amn,to,Backwards,5,0
52,no_amn,to,Backwards,5,0.333333333333333
53,no_amn,to,Backwards,5,0
54,no_amn,to,Backwards,5,0
55,no_amn,to,Backwards,5,NaN
56,no_amn,to,Backwards,5,1
57,no_amn,to,Backwards,5,NaN
58,no_amn,to,Backwards,5,0
59,no_amn,to,Backwards,5,0
60,no_amn,to,Backwards,5,0
61,no_amn,to,Backwards,5,0.333333333333333
62,no_amn,to,Backwards,5,NaN
63,no_amn,to,Backwards,5,0.5
64,no_amn,to,Backwards,5,0
65,no_amn,to,Backwards,5,NaN
66,no_amn,to,Backwards,5,0
67,no_amn,to,Backwards,5,0
68,no_amn,to,Backwards,5,0.5
69,no_amn,to,Backwards,5,0
70,no_amn,to,Backwards,5,NaN
71,no_amn,to,Backwards,5,1
72,no_amn,to,Backwards,5,0.333333333333333
73,no_amn,to,Backwards,5,0
74,no_amn,to,Backwards,5,NaN
75,no_amn,to,Backwards,5,1
4,no_amn,to,Backwards,4,0
5,no_amn,to,Backwards,4,NaN
6,no_amn,to,Backwards,4,0
7,no_amn,to,Backwards,4,0
9,no_amn,to,Backwards,4,0
10,no_amn,to,Backwards,4,NaN
11,no_amn,to,Backwards,4,0
12,no_amn,to,Backwards,4,0.666666666666667
14,no_amn,to,Backwards,4,0
15,no_amn,to,Backwards,4,0
16,no_amn,to,Backwards,4,0
17,no_amn,to,Backwards,4,NaN
18,no_amn,to,Backwards,4,0.666666666666667
19,no_amn,to,Backwards,4,0
20,no_amn,to,Backwards,4,1
21,no_amn,to,Backwards,4,0
22,no_amn,to,Backwards,4,NaN
23,no_amn,to,Backwards,4,0
24,no_amn,to,Backwards,4,0
25,no_amn,to,Backwards,4,0.666666666666667
26,no_amn,to,Backwards,4,1
27,no_amn,to,Backwards,4,0
28,no_amn,to,Backwards,4,1
29,no_amn,to,Backwards,4,NaN
30,no_amn,to,Backwards,4,0
31,no_amn,to,Backwards,4,0.25
32,no_amn,to,Backwards,4,0.333333333333333
33,no_amn,to,Backwards,4,NaN
34,no_amn,to,Backwards,4,0.25
35,no_amn,to,Backwards,4,0.2
36,no_amn,to,Backwards,4,0
37,no_amn,to,Backwards,4,0
38,no_amn,to,Backwards,4,NaN
39,no_amn,to,Backwards,4,1
40,no_amn,to,Backwards,4,NaN
41,no_amn,to,Backwards,4,0
42,no_amn,to,Backwards,4,1
43,no_amn,to,Backwards,4,0
